domain,subject,course_title,university,faculty,rating,review_count,registered_students,tags,cost,start_date,session,language,certificate,duration
Education & Teaching,Higher Education,Becoming a Student Assistant: Teaching and Mentoring,University of Groningen,"Robbert van Veen, Klaas van Veen and Ine Noben",4,"
        ",102,"online education,teaching assistants,guatemala,north america",Free Online Course (Audit),2018-08-13,Finished,English,"
              Paid Certificate Available
            ",5 weeks long
Education & Teaching,Higher Education,Cómo integrar la perspectiva de género en la educación superior.,Canvas Network,Martha Zapata Galindo and Teresa Martinez Orozco,0,"
        ",,"higher education,gender equality",Free Online Course,2018-08-07,Finished,Spanish,,5 weeks long
Education & Teaching,Online Education,DTransform101 - D-TRANSFORM: University Strategies in the Digital Age,Politecnico di Milano,"Marta Aymerich, Paul Bacsich and Andras Benedek",2,"
        ",25,"moocs,online learning,oer",Free Online Course,2018-07-30,Finished,English,,8 weeks long
Education & Teaching,Teacher Development,Engaging Students in Active Learning,Polimi OPEN KNOWLEDGE,"Paola Corti, Ariane Dumont and Aude Pichon",0,"
        ",22,"pedagogy,student engagement,active learning",Free Online Course,2018-07-30,Finished,English,,10 weeks long
Education & Teaching,Higher Education,Study Skills for International Students,University of East Anglia,Paul Hammerton,0,"
        ",136,"international students,europe,uk",Free Online Course (Audit),2018-08-13,Finished,English,"
              Paid Certificate Available
            ",4 weeks long
Education & Teaching,Test Prep,Inside IELTS: Preparing for the Test with the Experts,Cambridge English Language Assessment,Gad Lim,0,"
        ",191,"europe,ielts,uk",Free Online Course (Audit),2018-08-06,Finished,English,"
              Paid Certificate Available
            ",5 weeks long
Education & Teaching,Course Development,To Flip Or Not To Flip - Discover the flipped classroom methodology,Politecnico di Milano,"Aude Pichon, Ariane Dumont and Paola Corti",1,"
        ",42,"europe,stem,italy,flipped classroom,flipped learning",Free Online Course,2018-07-30,Finished,English,,8 weeks long
Computer Science,Algorithms and Data Structures,"BJC.3x: The Beauty and Joy of Computing (CS Principles), Part 3","University of California, Berkeley",Dan Garcia,0,"
        ",53,"uc berkeleyx,usa,north america",Free Online Course (Audit),2016-01-04,Finished,English,"
              Paid Certificate Available
            ",8 weeks long
Computer Science,Machine Learning,DAT203x: Data Science and Machine Learning Essentials,Microsoft,Cynthia Rudin and Dr. Steve Elston,6,"
        ",279,python,Free Online Course (Audit),2015-11-15,Finished,English,"
              Paid Certificate Available
            ",20 weeks long
Computer Science,Algorithms and Data Structures,Introduction à la logique informatique - Partie 1 : calcul propositionnel,Université Paris-Saclay,Hubert Comon,1,"
        ",9,"europe,computer logic,propositional calculus,france",Free Online Course,2015-11-12,Finished,French,,6 weeks long
Computer Science,Algorithms and Data Structures,Criptología Matemática,Universidad de Murcia,Leandro Marín Muñoz,0,"
        ",12,"spain,europe,cryptography,cryptology",Free Online Course,2015-11-09,Finished,Spanish,,6 weeks long
Computer Science,Artificial Intelligence,機器學習技法 (Machine Learning Techniques),National Taiwan University,Hsuan-Tien Lin,1,"
        ",71,"asia,taiwan",Free Online Course (Audit),2015-11-10,Finished,Chinese,"
              Certificate Available
            ",8 weeks long
Computer Science,Computer Science,ga045: 情報セキュリティ「初級」,Institute of Information Security,Goto AtsuHiroshi,0,"
        ",,information security,Free Online Course,2015-10-08,Finished,Japanese,,5 weeks long
Computer Science,Computer Science,Pensamiento Computacional en la Escuela,University of the Basque Country,Xabier Basogain Olabe,0,"
        ",6,"spain,europe,computational thinking",Free Online Course,2015-09-30,Finished,Spanish,,5 weeks long
Computer Science,Software Development,DEV206.1x: Introduction to XAML and Application Development,Microsoft,Sangeeta Nair and Sidney Andrews,0,"
        ",31,c#,Free Online Course (Audit),2015-09-14,Finished,English,"
              Paid Certificate Available
            ",9 weeks long
Computer Science,Computer Networking,INF202x: Microsoft Enterprise Mobility Suite,Microsoft,Rob Linsky,1,"
        ",24,,Free Online Course (Audit),2015-09-14,Finished,English,"
              Certificate Available
            ",6 weeks long
Computer Science,Computer Science,gb004: 《実務・資格講座》いまさらのITの基本～基本情報技術者へのいざない～,gacco,Endo Kinsaku,0,"
        ",,information technology,Free Online Course,2015-07-30,Finished,Japanese,,4 weeks long
Computer Science,Algorithms and Data Structures,算法基础,Peking University,Jiaying Liu 刘家瑛 and 郭 炜,0,"
        ",,"china,asia",Free Online Course (Audit),2015-07-21,Finished,Chinese,,8 weeks long
Computer Science,Software Development,JDK 8 Massive Open and Online Course: Lambdas and Streams Introduction,Oracle,Simon Ritter,6,"
        ",111,"java jdk 8,lambda expressions",Free Online Course,2015-07-14,Finished,English,,3 weeks long
Computer Science,Computer Science,Computer Architecture,Indian Institute of Technology Madras,Madhu Mutyam,0,"
        ",56,"computer architecture,india,asia",Free Online Course,2015-07-01,Finished,English,"
              Certificate Available
            ",8 weeks long
Computer Science,DevOps,DEV202.1x: Building Cloud Apps with Microsoft Azure – Part 1,Microsoft,Rick Anderson and Tom Dykstra,1,"
        ",65,,Free Online Course (Audit),2015-06-02,Finished,English,"
              Paid Certificate Available
            ",22 weeks long
Computer Science,Cybersecurity,Information Security and Risk Management: An Overview,University of Washington,Barbara Endicott-Popovsky,0,"
        ",75,"cyber security,risk management,usa,north america",Free Online Course,2015-05-18,Finished,English,,7 weeks long
Computer Science,Computer Science,ga024: 情報セキュリティ『超』入門,Institute of Information Security,"Yuasa 墾道, Doi Hiroshi, Okubo Takao, Sato straight and Goto AtsuHiroshi",0,"
        ",,information security,Free Online Course,2015-05-13,Finished,Japanese,,4 weeks long
Computer Science,DevOps,DEV202.2x: Building Cloud Apps with Microsoft Azure – Part 2,Microsoft,Rick Anderson and Tom Dykstra,1,"
        ",32,,Free Online Course (Audit),2015-05-12,Finished,English,"
              Paid Certificate Available
            ",4 weeks long
Computer Science,Artificial Intelligence,Binaural Hearing for Robots,Inria (French Institute for Research in Computer Science and Automation),Radu Horaud,0,"
        ",37,"artificial intelligence,machine learning",Free Online Course,2015-05-11,Finished,English,"
              Certificate Available
            ",4 weeks long
Computer Science,Machine Learning,CS190.1x: Scalable Machine Learning,"University of California, Berkeley",Ameet Talwalkar,31,"
        ",394,"uc berkeleyx,usa,north america",Free Online Course (Audit),2015-06-29,Finished,English,"
              Certificate Available
            ",5 weeks long
Computer Science,Algorithms and Data Structures,Arithmétique : en route pour la cryptographie,Université de Lille,Arnaud Bodin and Pierre Allegraud,0,"
        ",,"europe,cryptography,rsa,france",Free Online Course,2015-03-09,Finished,French,,8 weeks long
Computer Science,Artificial Intelligence,Einführung in Computer Vision,Technische Universität München (Technical University of Munich),Martin Kleinsteuber,2,"
        ",55,"europe,germany",Free Online Course (Audit),2015-01-19,Finished,German,"
              Certificate Available
            ",10 weeks long
Education & Teaching,Teacher Development,Exploring the World of English Language Teaching,Cambridge English Language Assessment,Monica Poulter and Marie Therese Swabey,0,"
        ",162,"europe,english teaching,esl,uk,tefl",Free Online Course (Audit),2018-06-18,Finished,English,"
              Paid Certificate Available
            ",6 weeks long
Education & Teaching,Education & Teaching,Éducation par la recherche : Savanturiers du vivant,Sorbonne Paris Cité University,"Régis Forgione, Patrice Clair and Elaine Del Nery",0,"
        ",18,"education,research",Free Online Course,2018-06-07,Finished,French,"
              Certificate Available
            ",5 weeks long
Education & Teaching,Teacher Development,Teaching for Success: Learning and Learners,British Council,Claire Ross,0,"
        ",106,"english teaching,esl,cpd",Free Online Course (Audit),2018-05-28,Finished,English,"
              Paid Certificate Available
            ",4 weeks long
Education & Teaching,Course Development,Enseigner et former avec le numérique en langues,Université Paris-Saclay,Christian Degache,0,"
        ",10,"teaching,europe,digital technology,france",Free Online Course,2018-05-14,Finished,French,,4 weeks long
Education & Teaching,Education & Teaching,Connectivism and Learning,University of Naples Federico II,Stephen Downes,1,"
        ",8,"europe,italy",Free Online Course,2018-05-07,Finished,English,,10 weeks long
Education & Teaching,STEM,Education through research : engineering in the classroom,Sorbonne Paris Cité University,"Emmanuelle Laignel, Aurélien Brendel and Clara Falaschini",0,"
        ",70,"teaching,stem",Free Online Course,2018-05-03,Finished,English,"
              Certificate Available
            ",5 weeks long
Education & Teaching,K12,(K-12/HE) Professional Development for English Teachers,Ball State University,Cheri Ellefson and Kathy Ramos,2,"
        ",56,"teacher professional development,k12",Free Online Course,2018-04-23,Finished,English,,10 weeks long
Education & Teaching,Teacher Development,Teaching for Success: Lessons and Teaching,British Council,Claire Ross,1,"
        ",1189,english,Free Online Course (Audit),2018-04-16,Finished,English,"
              Paid Certificate Available
            ",6 weeks long
Education & Teaching,Higher Education,Preparing for Open Days and UCAS Exhibitions,UCAS,Rebecca Bale,0,"
        ",14,"higher education,college prep",Free Online Course (Audit),2018-04-09,Finished,English,,2 weeks long
Education & Teaching,Teacher Development,How To Teach Us,High Tech High,Patrick Yurick and Larry Rosenstock,0,"
        ",229,,Free Online Course (Audit),2018-04-09,Finished,English,"
              Paid Certificate Available
            ",3 weeks long
Education & Teaching,Online Education,Using Open Educational Resources in Teaching,Politecnico di Milano,"Aude Pichon, Ariane Dumont and Paola Corti",0,"
        ",24,"pedagogy,europe,italy,moocs,online learning,oer",Free Online Course,2018-03-30,Finished,English,,8 weeks long
Education & Teaching,Course Development,Supporting Student Argumentation in English Language Arts and History/Social Studies,Stanford University,"Sara Rutherford-Quach, Jeff Zwiers and Erika Moore Johnson",0,"
        ",66,"education,arguments,commuication",Free Online Course,2018-03-20,Finished,English,"
              Certificate Available
            ",5 weeks long
Education & Teaching,Higher Education,(HE) Concepts and Practice of Responsible Research and Innovation,Universitat Pompeu Fabra,Núria Saladie and Gema Revuelta,1,"
        ",36,"research,rri",Free Online Course,2018-02-26,Finished,English,,6 weeks long
